NUMBER,NAME,LOCATION,TYPE,General Observations,SUMMIT CRATER,Crater Observations,Underwater Extent,Latitude,Longitude,Elevation Min (m),Elevation Max (m),Basal Area (km2),Basal Width (km),Minor Basal Axis (km),Major Basal Axis (km),Summit Area (km2),Summit Width (km),Height (km),Height Max (km),Volume (km3),Volume Max (km3),Height / Basal width,Summit width / Basal width,Ellipticity index [outline],Irregularity index [outline],Ellipticity index [avg. contours],Irregularity index [avg. contours],Mean Slope [total] (º),Mean Slope [flank] (º),Mean Slope [low flank] (º),Mean Slope [main flank] (º),Mean Slope [summit] (º),Max. Avg. Slope (º),Max. Avg. Slope Height Fraction,Azimuth Major Basal Axis (º),Avg. Azimuth Elevation contours (º),Sec. Peaks [total],Sec. Peaks [flank],Sec. Peaks [summit],Holes [total],Holes [flank],Holes [summit],Contours [flank],Contours [summit],Elevation Lowest Contour (m),Elevation Fraction Lowest Contour,Width Lowest Contour (m),Elevation Summit Region Contour (m),Elevation Fraction Summit Region Contour,Crater Elevation Min (m),Crater Elevation Min [fraction],Crater Area (km2),Crater Width (km),Major Crater Axis (km),Azimuth Major Crater Axis (º),Crater Depth (km),Crater Depth Max (km),Crater Volume (km3),Crater Volume Max (km3),Ellipticity index [crater outline],Irregularity index [crater outline],Crater Depth / Crater Width,Crater Width / Edifice Width,Crater Depth / Edifice Height,Crater Volume / Edifice Volume,Mean Crater Slope (º)
1404-13-,Maderas,Nicaragua,Stratovolcano,Summit region includes two peaks,NO,Small crater,No,11.445,-85.516,35,1343,51.5,8.10,7.08,9.36,6.37,2.85,1.17,1.31,17.7,25.2,0.144,0.352,1.35,1.24,1.25,1.19,16.9,16.6,11.0,19.7,19.2,24.8,0.51,53,93,3,1,2,0,0,0,14,7,300,0.20,6.78,950,0.70, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1404-132,"Ciguatepe, Cerro el",Nicaragua,Stratovolcano,,NO,,No,12.541,-86.143,211,608,7.05,3.00,2.58,3.48,0.68,0.93,0.29,0.40,0.75,1.53,0.097,0.312,1.35,1.20,1.86,1.38,15.4,15.8,14.0,17.9,11.2,18.5,0.60,166,35,0,0,0,0,0,0,4,1,400,0.48,2.23,550,0.85, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1405-01=,Orosí,Costa Rica,Stratovolcanoes,Outline delineation problematic; summit region includes several peaks,NO,,No,10.932,-85.448,401,1656,134,13.1,9.84,16.3,18.8,4.90,1.05,1.26,32,57,0.080,0.375,1.58,1.24,2.46,1.98,12.3,11.2,8.2,16.0,19.2,18.1,0.48,156,153,14,7,7,1,1,0,7,11,800,0.32,9.02,1100,0.56, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1405-02=,Rincón de la Vieja,Costa Rica,Complex volcano,Summit region includes several peaks,NO,Small crater,No,10.809,-85.319,422,1889,201,16.0,11.1,19.3,15.4,4.43,1.19,1.47,73,121,0.074,0.277,1.51,1.21,2.78,1.43,12.3,11.9,9.9,14.2,17.4,16.3,0.67,110,110,14,5,9,2,1,1,13,6,950,0.36,11.4,1550,0.77, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1405-03=,Miravalles,Costa Rica,Stratovolcano,Summit region includes several peaks,NO,Small crater,No,10.747,-85.152,441,1992,161,14.3,12.3,16.7,18.3,4.83,1.38,1.55,62,86,0.097,0.338,1.38,1.19,1.82,1.54,14.8,14.1,9.4,16.0,20.2,22.2,0.62,173,176,15,8,7,1,1,0,16,10,700,0.17,12.4,1450,0.65, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1405-031,Tenorio,Costa Rica,Stratovolcanoes,,NO,,No,10.668,-85.013,327,1887,145,13.6,11.6,15.7,0.39,0.70,1.25,1.56,38,78,0.092,0.052,1.36,1.26,1.77,1.17,12.4,12.4,11.1,16.7,15.8,25.2,0.85,127,139,20,20,0,2,2,0,16,1,1050,0.46,6.46,1800,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1405-033,Arenal,Costa Rica,Stratovolcano,,NO,,No,10.462,-84.703,431,1616,14.9,4.36,3.33,5.31,0.14,0.42,0.91,1.19,3.1,7.0,0.209,0.095,1.61,1.31,1.25,1.02,20.1,20.1,15.1,26.3,21.9,33.8,0.86,105,90,0,0,0,0,0,0,15,1,850,0.35,2.99,1550,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1405-034,Platanar,Costa Rica,Stratovolcanoes,Outline delineation problematic; closed elevation contour(s) not representative,NO,,No,10.246,-84.357,278,2295,489,25.0,22.7,27.6,7.95,3.18,1.40,2.02,190,482,0.056,0.127,1.23,1.13,2.80,2.27,13.0,13.0,13.1,12.0,9.5,13.5,0.88,77,173,69,63,6,1,1,0,3,2,2050,0.88,6.03,2150,0.93, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1405-04=,Poás,Costa Rica,Stratovolcano,Outline delineation problematic; closed elevation contour(s) not representative,NO,Small crater,No,10.184,-84.226,536,2692,353,21.2,13.4,30.9,15.9,4.50,1.35,2.16,95,344,0.064,0.212,2.15,1.21,1.73,1.57,11.4,11.4,10.5,16.2,13.0,18.0,0.75,14,73,20,15,5,3,3,0,10,5,1950,0.66,9.17,2400,0.86, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1405-05=,Barva,Costa Rica,Complex volcano,Outline delineation problematic; closed elevation contour(s) not representative,NO,,No,10.131,-84.102,92,2893,824,32.4,24.1,38.2,0.87,1.05,1.69,2.80,308,949,0.052,0.032,1.41,1.19,2.00,1.34,11.9,11.9,11.7,13.9,11.8,15.5,0.70,31,101,61,60,1,5,5,0,18,1,1950,0.66,11.3,2800,0.97, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1405-06=,Irazú,Costa Rica,Stratovolcano,Outline delineation problematic; closed elevation contour(s) not representative,NO,Small crater,No,9.976,-83.854,245,3419,576,27.1,16.9,36.0,2.06,1.62,1.72,3.17,240,791,0.064,0.060,1.80,1.25,3.57,1.38,14.8,14.8,14.6,18.4,14.6,19.5,0.93,2,80,45,44,1,9,9,0,8,2,2950,0.85,5.02,3300,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1405-07=,Turrialba,Costa Rica,Stratovolcano,Outline delineation problematic; closed elevation contour(s) not representative,NO,Small crater,No,10.018,-83.757,365,3293,435,23.5,19.4,27.7,2.12,1.64,1.90,2.93,180,425,0.081,0.070,1.42,1.17,1.88,1.28,14.5,14.5,14.2,21.7,18.3,26.4,0.92,152,79,31,29,2,2,2,0,10,2,2700,0.80,4.28,3150,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1406-01-,Barú,Panamá,Stratovolcano,Summit region includes several peaks,NO,,No,8.809,-82.543,795,3426,253,17.9,15.9,22.3,5.26,2.59,1.62,2.63,84,251,0.090,0.144,1.54,1.21,1.58,1.57,16.0,15.9,15.0,25.1,23.8,27.6,0.80,133,128,22,16,6,2,2,0,11,6,2600,0.69,5.80,3100,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1501-012,"Bravo, Cerro",Colombia,Stratovolcano,,NO,,No,5.091,-75.293,2486,3980,32.5,6.43,5.49,7.58,1.00,1.13,1.06,1.49,10.1,22.5,0.165,0.175,1.43,1.34,2.04,1.24,22.2,22.3,21.7,25.5,20.4,29.3,0.85,56,2,7,7,0,0,0,0,7,3,3500,0.68,2.60,3800,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1501-02=,"Ruiz, Nevado del",Colombia,Stratovolcano,,NO,Small crater,No,4.891,-75.324,2748,5280,248,17.8,13.5,21.2,5.07,2.54,1.63,2.53,116,326,0.092,0.143,1.59,1.30,1.54,1.31,18.4,18.5,18.6,18.2,10.0,23.0,0.89,87,115,21,19,2,3,3,0,15,2,4450,0.67,7.75,5150,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1501-021,Santa Isabel,Colombia,Shield volcano,Summit region includes several peaks,NO,,No,4.818,-75.365,3910,4938,49.6,7.95,6.12,10.2,3.61,2.14,0.64,1.03,10.4,26.1,0.081,0.270,1.67,1.33,3.15,1.32,15.0,14.9,14.8,15.6,16.7,17.0,0.82,150,24,7,4,3,0,0,0,3,3,4650,0.72,3.20,4750,0.82, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1501-03=,"Tolima, Nevado del",Colombia,Stratovolcano,,NO,,No,4.658,-75.330,2822,5210,55.0,8.37,6.07,10.3,0.22,0.53,1.51,2.39,21.0,68.8,0.180,0.064,1.54,1.30,1.45,1.06,20.4,20.4,19.0,24.3,17.6,34.4,0.91,159,98,6,6,0,0,0,0,19,1,4250,0.60,4.32,5150,0.97, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1501-04=,Machín,Colombia,Stratovolcano,,NO,,No,4.486,-75.389,1659,2745,13.0,4.08,3.41,4.62,0.45,0.76,0.61,1.09,2.7,8.9,0.150,0.186,1.52,1.17,1.62,1.08,23.0,23.1,23.2,22.3,18.6,22.5,0.91,8,27,5,4,1,0,0,0,3,1,2550,0.82,1.17,2650,0.91, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1501-05=,"Huila, Nevado del",Colombia,Stratovolcano,Summit region includes two peaks,NO,,No,2.923,-76.028,2069,5369,197,15.8,11.7,20.7,1.36,1.32,2.29,3.30,120,291,0.145,0.083,1.73,1.23,2.76,1.25,23.4,23.4,23.1,24.2,26.5,31.5,0.92,9,178,17,16,1,1,1,0,23,4,4050,0.60,7.93,5150,0.93, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1501-06=,Puracé,Colombia,Stratovolcanoes,Summit region includes several peaks,NO,Small craters,No,2.309,-76.395,2605,4633,251,17.9,15.6,20.6,16.2,4.54,1.40,2.03,105,259,0.078,0.254,1.33,1.20,2.05,1.63,13.6,13.4,12.7,14.2,16.9,17.5,0.79,120,121,19,14,5,4,1,3,14,7,3600,0.49,12.8,4250,0.81, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1501-061,Sotará,Colombia,Stratovolcano,,NO,,No,2.108,-76.591,3512,4390,7.71,3.13,2.44,3.93,0.53,0.82,0.60,0.88,1.65,3.65,0.192,0.261,1.72,1.25,1.42,1.09,25.2,25.9,23.1,28.3,15.5,31.4,0.84,156,151,2,1,1,0,0,0,9,1,3900,0.44,2.41,4300,0.90, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1501-07=,Doña Juana,Colombia,Stratovolcano,Outline delineation problematic,NO,,No,1.500,-76.937,3103,4136,16.0,4.51,3.47,5.32,0.81,1.02,0.74,1.03,3.6,8.4,0.163,0.225,1.54,1.41,1.87,1.23,23.4,23.8,21.7,27.6,15.9,30.8,0.72,33,111,3,2,1,0,0,0,9,1,3650,0.53,2.88,4050,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1501-08=,Galeras,Colombia,Complex volcano,Outline delineation problematic,NO,,No,1.218,-77.354,1596,4194,253,17.9,15.0,20.8,1.65,1.45,1.70,2.60,117,323,0.095,0.081,1.36,1.29,2.19,1.71,19.5,19.5,19.5,19.6,17.7,24.3,0.93,40,18,17,16,1,4,4,0,18,2,3200,0.62,9.80,4050,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1501-09=,Azufral,Colombia,Stratovolcano,Outline delineation problematic; summit region includes several peaks,NO,Large but incomplete crater,No,1.086,-77.720,2331,4028,147,13.7,10.5,16.7,6.11,2.79,0.99,1.70,40,140,0.073,0.204,1.56,1.36,2.39,2.14,17.0,16.9,17.2,15.8,17.3,16.4,0.75,40,58,9,5,4,2,2,0,5,4,3600,0.75,6.01,3800,0.87, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1501-10=,Cumbal,Colombia,Stratovolcano,Summit region includes two peaks,NO,,No,0.956,-77.887,3250,4731,41.1,7.23,5.82,8.54,1.46,1.36,1.10,1.48,13.8,28.6,0.152,0.189,1.56,1.36,1.95,1.13,20.1,20.0,18.8,21.4,20.8,24.1,0.74,107,56,4,2,2,0,0,0,14,3,3900,0.44,5.11,4550,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1501-11=,"Negro de Mayasquer, Cerro",Colombia,Stratovolcano,,NO,,No,0.824,-77.966,3025,4418,21.2,5.19,3.98,5.96,1.58,1.42,0.74,1.39,4.9,13.6,0.142,0.273,1.40,1.20,1.70,1.34,24.3,24.3,24.3,24.9,23.8,26.7,0.74,51,132,3,2,1,0,0,0,3,5,4050,0.74,1.96,4150,0.81, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1502-001,Soche,Ecuador,Stratovolcano,Outline delineation problematic,NO,,No,0.551,-77.582,1663,3920,36.5,6.82,4.52,8.54,0.49,0.79,0.87,2.26,8.8,41.9,0.128,0.116,1.64,1.19,2.42,1.28,25.8,25.9,26.0,24.6,20.9,31.6,0.92,115,163,2,2,0,0,0,0,6,2,3550,0.84,2.16,3800,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1502-004,Imbabura,Ecuador,Compound volcano,Outline delineation problematic,NO,,No,0.261,-78.181,2766,4520,47.9,7.81,6.92,9.49,0.34,0.66,1.45,1.75,22.8,38.1,0.186,0.085,1.49,1.23,1.85,1.30,24.6,24.6,23.4,25.4,19.2,34.8,0.85,36,31,5,4,1,0,0,0,22,1,3400,0.36,6.17,4450,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1502-005,Mojanda,Ecuador,Stratovolcanoes,Summit region includes several peaks,NO,Large but incomplete crater,No,0.133,-78.294,2185,4218,241,17.5,14.1,20.4,46.5,7.70,1.39,2.03,104,269,0.079,0.440,1.37,1.18,1.82,1.77,16.2,15.8,14.8,18.0,18.1,20.0,0.75,34,79,25,8,17,0,0,0,9,10,3300,0.55,11.9,3700,0.75, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1502-006,Cayambe,Ecuador,Compound volcano,Outline delineation problematic,NO,,No,0.025,-77.990,3318,5771,198,15.9,12.4,18.4,0.27,0.59,2.03,2.45,82,160,0.128,0.037,1.41,1.37,1.68,1.31,18.6,18.6,16.9,21.1,18.2,33.4,0.95,74,108,18,18,0,0,0,0,33,1,4100,0.32,10.3,5700,0.97, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1502-01=,Reventador,Ecuador,Stratovolcano,Outline delineation problematic,NO,,No,-0.081,-77.660,1013,3508,169,14.7,12.6,16.2,4.24,2.32,1.68,2.50,79,196,0.115,0.158,1.30,1.19,1.57,1.45,18.7,18.7,17.5,23.0,22.0,26.9,0.86,18,164,16,14,2,0,0,0,16,5,2500,0.60,7.05,3250,0.90, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1502-02=,Guagua Pichincha,Ecuador,Stratovolcano,"SRTM DEM has errors; outline delineation problematic, includes Guagua Pichincha and Rucu Pichincha; summit region includes several peaks",NO,,No,-0.177,-78.599,1507,4678,406,22.7,18.8,27.3,11.7,3.86,1.88,3.17,224,636,0.083,0.170,1.45,1.18,2.06,2.02,22.3,22.4,22.6,21.6,21.7,23.9,0.71,123,67,70,61,9,12,12,0,17,7,3500,0.63,12.0,4300,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1502-021,Atacazo,Ecuador,Stratovolcano,SRTM DEM has errors,NO,,No,-0.357,-78.620,2115,4390,162,14.4,10.7,16.7,1.21,1.24,1.24,2.28,52,199,0.086,0.086,1.50,1.25,2.34,1.61,22.4,22.4,22.8,19.9,20.0,23.2,0.94,38,13,33,31,2,6,6,0,10,2,3800,0.74,5.33,4250,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1502-03=,Antisana,Ecuador,Stratovolcano,,NO,,No,-0.485,-78.142,2652,5689,128,12.8,10.2,15.2,0.10,0.36,1.86,3.04,66,193,0.146,0.029,1.51,1.21,1.72,1.25,19.5,19.5,18.6,21.6,15.8,32.8,0.87,75,123,5,5,0,0,0,0,25,0,4450,0.59,6.88,5650,0.99, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1502-04=,Sumaco,Ecuador,Stratovolcano,,NO,,No,-0.541,-77.627,1133,3771,203,16.1,13.9,18.5,0.21,0.51,1.99,2.64,74,196,0.124,0.032,1.33,1.24,1.52,1.19,15.3,15.3,13.7,20.1,19.9,35.4,0.94,54,152,12,12,0,5,5,0,29,1,2300,0.44,8.15,3700,0.97, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1502-041,Illiniza,Ecuador,Stratovolcano,Outline delineation problematic; summit region includes two peaks,NO,,No,-0.663,-78.716,3048,5160,174,14.9,13.1,17.6,3.14,2.00,1.68,2.11,67,142,0.113,0.134,1.40,1.20,1.85,1.49,16.5,16.3,15.4,18.0,29.2,25.3,0.73,160,163,11,10,1,2,2,0,17,8,3950,0.43,8.83,4750,0.81, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1502-05=,Cotopaxi,Ecuador,Stratovolcano,,NO,Small crater,No,-0.681,-78.439,3734,5862,91.1,10.8,9.18,12.6,0.60,0.87,1.75,2.13,32.8,66.3,0.162,0.081,1.39,1.22,1.23,1.07,16.3,16.3,12.9,22.6,19.1,33.5,0.92,62,161,6,5,1,2,2,0,26,2,4500,0.36,6.45,5750,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1502-071,Chimborazo,Ecuador,Stratovolcano,,NO,,No,-1.470,-78.817,3573,6253,152,13.9,11.4,16.9,0.63,0.89,2.13,2.68,65,145,0.153,0.064,1.57,1.29,1.68,1.17,16.6,16.6,13.7,21.1,17.9,37.6,0.92,167,105,4,3,1,0,0,0,33,2,4550,0.36,8.81,6150,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1502-08=,Tungurahua,Ecuador,Stratovolcano,Outline delineation problematic,NO,Small crater,No,-1.470,-78.445,1723,4984,160,14.3,12.6,15.7,1.15,1.21,2.40,3.26,92,222,0.168,0.085,1.64,1.25,1.52,1.28,21.0,21.0,20.3,23.3,29.0,33.0,0.90,33,146,6,6,0,3,3,0,23,5,3600,0.58,6.87,4700,0.91, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1502-09=,Sangay,Ecuador,Stratovolcano,Artificial 'sink' in SRTM DEM was corrected; outline delineation problematic,NO,,No,-2.005,-78.341,1865,5282,140,13.4,11.4,15.3,0.18,0.47,2.44,3.42,77,193,0.183,0.035,1.37,1.22,1.46,1.03,23.2,23.2,22.1,29.8,20.7,36.6,0.93,81,60,9,9,0,3,3,0,28,1,3850,0.58,5.07,5200,0.98, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1503-01=,Fernandina,Galápagos,Shield volcano,,YES,,No,-0.354,-91.525,50,1477,364,21.5,18.4,23.8,42.6,7.37,1.37,1.43,145,168,0.063,0.342,1.26,1.12,1.29,1.03,8.1,8.1,4.6,9.1,9.4,18.7,0.67,120,97,2,2,0,0,0,0,22,0,200,0.11,19.3,1250,0.84,573,0.37,25.9,5.74,6.72,145,0.83,0.90,12.2,14.8,1.37,1.07,0.14,0.27,0.61,0.08,21.6
1503-011,Ecuador,Galápagos,Shield volcano,,NO,,Partially,-0.012,-91.551,0,883,25.8,5.73,4.63,6.93,0.92,1.08,0.72,0.88,6.8,10.8,0.126,0.188,1.44,1.18,3.32,1.34,21.2,21.4,19.8,24.8,15.4,31.9,0.59,135,155,3,3,0,0,0,0,8,1,450,0.54,3.42,800,0.91, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1503-02=,Wolf,Galápagos,Shield volcano,,YES,,No,0.042,-91.335,1,1697,384,22.1,13.4,28.3,36.6,6.83,1.58,1.70,193,256,0.072,0.309,1.65,1.21,1.37,1.03,9.7,9.7,8.1,11.4,8.6,18.0,0.74,128,145,2,2,0,0,0,0,21,1,550,0.32,16.2,1550,0.91,997,0.59,23.6,5.49,6.23,143,0.65,0.70,9.46,11.1,1.29,1.06,0.12,0.25,0.41,0.05,18.5
1503-03=,Darwin,Galápagos,Shield volcano,,YES,,No,-0.175,-91.273,37,1402,273,18.6,16.6,22.1,39.1,7.05,1.04,1.37,117,189,0.056,0.378,1.53,1.15,1.14,1.02,8.9,8.9,8.7,9.0,9.2,11.2,0.78,0,123,3,3,0,0,0,0,13,0,600,0.41,14.6,1200,0.85,1103,0.78,24.3,5.56,5.90,106,0.27,0.30,4.01,6.21,1.12,1.06,0.05,0.30,0.26,0.03,7.2
1503-04=,Alcedo,Galápagos,Shield volcano,,YES,,Partially,-0.395,-91.108,0,1163,600,27.6,23.8,31.5,60.7,8.79,1.09,1.16,213,254,0.040,0.318,1.31,1.09,1.30,1.04,5.4,5.2,4.4,5.9,10.8,12.9,0.77,144,127,5,4,1,1,1,0,14,1,300,0.26,21.2,950,0.82,774,0.67,45.0,7.57,8.36,124,0.32,0.39,8.89,14.1,1.22,1.07,0.04,0.27,0.29,0.04,7.2
1503-05=,"Negra, Sierra",Galápagos,Shield volcano,Outline delineation problematic,YES,,No,-0.782,-91.136,136,1126,433,23.5,21.6,25.4,75.3,9.79,0.89,0.99,152,202,0.038,0.417,1.17,1.09,1.13,1.04,6.0,5.8,5.1,6.4,8.8,7.6,0.82,105,71,3,3,0,0,0,0,11,0,450,0.32,18.8,950,0.82,889,0.76,57.2,8.53,9.84,67,0.15,0.24,4.33,9.34,1.33,1.07,0.02,0.36,0.17,0.03,4.8
1503-06=,"Azul, Cerro",Galápagos,Shield volcano,,YES,,No,-0.929,-91.410,3,1672,342,20.9,16.8,23.7,24.9,5.63,1.57,1.67,161,206,0.075,0.270,1.33,1.14,1.18,1.03,9.1,9.2,6.7,11.3,6.5,16.8,0.78,131,105,2,2,0,0,0,0,23,1,400,0.24,16.0,1500,0.90,1176,0.70,11.3,3.80,4.65,137,0.40,0.47,2.38,3.22,1.50,1.11,0.11,0.18,0.26,0.01,16.5
1503-07=,Pinta,Galápagos,Shield volcano,Summit region includes two peaks,NO,Small crater,Totally,0.585,-90.756,0,627,60.6,8.78,6.24,12.0,9.50,3.48,0.62,0.63,9.9,10.8,0.070,0.396,2.21,1.13,1.48,1.13,7.7,7.2,6.3,9.7,10.4,10.7,0.33,144,62,4,2,2,0,0,0,4,5,200,0.33,5.41,350,0.56, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1503-08=,Marchena,Galápagos,Shield volcano,Summit region includes several peaks,NO,,Totally,0.350,-90.464,0,322,133,13.0,10.4,16.0,35.8,6.75,0.32,0.32,12,13,0.025,0.519,1.53,1.12,1.43,1.21,3.5,3.0,2.0,4.4,5.0,4.4,0.47,108,104,16,5,11,0,0,0,3,3,50,0.16,9.90,150,0.47, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1503-09=,Santiago,Galápagos,Shield volcano,Outline delineation problematic,NO,,Partially,-0.212,-90.784,0,903,255,18.0,14.5,22.0,1.50,1.38,0.83,0.90,62,82,0.046,0.077,1.52,1.15,2.27,1.15,6.0,6.0,5.3,6.5,7.2,13.0,0.94,119,134,15,15,0,0,0,0,13,1,250,0.28,13.7,850,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1503-091,Santa Cruz,Galápagos,Shield volcano,,NO,,Partially,-0.643,-90.327,0,845,816,32.2,28.2,37.8,0.39,0.70,0.81,0.85,141,161,0.025,0.022,1.39,1.13,2.37,1.17,2.8,2.8,2.0,3.6,8.3,11.1,0.95,126,101,27,27,0,9,9,0,14,0,150,0.18,23.0,800,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1503-12-,San Cristóbal,Galápagos,Shield volcano,Summit region includes several peaks,NO,,Partially,-0.897,-89.516,0,706,281,18.9,12.9,26.7,24.3,5.56,0.70,0.71,56,61,0.037,0.294,1.99,1.14,2.14,1.20,4.9,4.8,3.5,5.5,6.5,6.9,0.71,69,70,12,6,6,0,0,0,9,4,100,0.14,15.6,500,0.71, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1504-002,Sara Sara,Perú,Stratovolcano,,NO,,No,-15.330,-73.446,4506,5487,21.7,5.25,4.11,6.25,1.25,1.26,0.88,0.98,6.1,8.5,0.168,0.240,1.59,1.34,2.08,1.24,23.0,23.3,17.7,27.5,18.5,32.6,0.55,144,150,5,3,2,0,0,0,13,2,4750,0.25,4.14,5350,0.86, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1504-003,Coropuna,Perú,Stratovolcano,Summit region includes several peaks,NO,,No,-15.546,-72.661,4355,6402,224,16.9,14.9,19.1,27.1,5.87,1.53,2.05,104,204,0.091,0.348,1.31,1.21,2.42,1.36,15.2,14.8,13.3,19.3,18.2,20.3,0.75,145,96,9,2,7,0,0,0,11,10,5400,0.51,9.90,5900,0.75, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1504-006,[Ampato],Perú,[Stratovolcano],,NO,,No,-15.820,-71.881,4321,6274,87.8,10.6,8.75,12.0,0.82,1.02,1.34,1.95,21.7,57.2,0.127,0.096,1.29,1.19,1.92,1.13,14.2,14.2,12.7,27.8,16.8,30.8,0.91,129,36,2,1,1,0,0,0,12,2,5600,0.65,3.49,6150,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1504-006,Sabancaya,Perú,[Stratovolcano],,NO,,No,-15.789,-71.857,4695,5945,43.5,7.44,5.60,9.87,0.62,0.89,0.64,1.25,7.2,26.0,0.085,0.120,1.81,1.17,1.85,1.09,13.9,13.9,13.4,24.0,18.1,28.8,0.92,114,57,5,4,1,3,3,0,5,1,5650,0.76,1.85,5850,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
